#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:44Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:45Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:46Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:47Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:48Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:49Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:50Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:51Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:52Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:53Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:54Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:55Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:56Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:57Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:58Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:59Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:00Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:01Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:02Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:03Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:04Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
